TranslatedRecipeName,TranslatedIngredients
Mexican Chicken Burger Recipe With Sour Cream & Salsa,"2 tablespoons Butter - to spread,1 teaspoon Cumin powder (Jeera),2 tablespoons Tomato Salsa,1/3 cup Cheese - grated,Salt - to taste,2 tablespoons Pickled Jalapenos - finely chopped,1/2 teaspoon Black pepper powder,1/4 cup Coriander (Dhania) Leaves - finely chopped,1 Onion - finely chopped,1 Whole Egg,4 tablespoons Sour cream,2 Burger buns,4 tablespoons Tomato Salsa,3 cloves Garlic - finely chopped,1 Chicken breasts - minced,1 Onion - cut into rings"
Chicken Bharta Recipe - Dhaba Style Chicken Masala,"1 teaspoon Cumin powder (Jeera),1 teaspoon Coriander Powder (Dhania),Kewra essence - few drops,1 Onion - finely chopped,1 tablespoon Ginger Garlic Paste,1/4 cup Curd (Dahi / Yogurt),6 Cardamom (Elaichi) Pods/Seeds,4 tablespoon Cashew nuts,1 teaspoon Garam masala powder,Salt - to taste,1/4 cup Fresh cream,2 Tomatoes,Sugar - to taste,1 tablespoon Kasuri Methi (Dried Fenugreek Leaves),300 grams Chicken breasts - boneless,Coriander (Dhania) Leaves - for garnishing (chopped),1 tablespoon Butter,4 tablespoon Sunflower Oil,1 Black cardamom (Badi Elaichi),1/2 teaspoon Turmeric powder (Haldi),1 inch Cinnamon Stick (Dalchini),2 Green Chillies - finely chopped,1/2 teaspoon Kashmiri Red Chilli Powder,6 Cloves (Laung),1 Bay leaf (tej patta),2 Whole Egg - boiled"
Chicken Pizza With Caramelised Red Onion Recipe,"1 cup All Purpose Flour (Maida),1 tablespoon Dried Thyme Leaves,1 Onion - chopped,1 teaspoon Red Chilli flakes,Basil leaves - chopped,1/2 cup Mozzarella cheese - grated,1 cup Whole Wheat Flour - and some extra flour for dusting,2 teaspoons Active dry yeast,1 tablespoon Vinegar,4 Onions - sliced,100 grams Chicken breasts - cut into small pieces,1 tablespoon Sugar,Salt - to taste,2 tablespoons Honey,4 cloves Garlic - chopped,2 tablespoons Extra Virgin Olive Oil - and extra as needed,1 teaspoon Dried Thyme Leaves,Extra Virgin Olive Oil - for caramelising,Lukewarm Water - as required,1 teaspoon Tabasco Original - Hot Sauce,2 cups Homemade tomato puree,1 teaspoon Sugar,1 tablespoon Black pepper powder,Extra Virgin Olive Oil - for cooking,1 teaspoon Salt"
Kung Pao Chicken With Vegetable Fried Rice Recipe,"1 Green Bell Pepper (Capsicum) - diced,1 tablespoon Garlic - made into paste,1 teaspoon Whole Black Peppercorns - freshly crushed,1/4 cup Roasted Peanuts (Moongphali) - without husk,2-3 Dry Red Chilli - soaked in water and chopped,1 tablespoon Green Chilli - made into paste,2 teaspoons Vinegar,1 teaspoon Soy sauce,500 grams Boneless chicken - cut into small pieces,1 tablespoon Tomato Ketchup,1 teaspoon Ginger - grated,2 teaspoons Extra Virgin Olive Oil - or sesame oil,2 Spring Onion (Bulb & Greens) - chopped,1 teaspoon Salt"
Sri Lankan Chicken Curry Recipe,"1 tablespoon Red Chilli powder,2 Tomatoes - pureed,1 tablespoon Coriander Powder (Dhania),1/2 teaspoon Turmeric powder (Haldi),1 Lemongrass,2 sprig Curry leaves,Water - as required,Salt - to taste,12 cloves Garlic - finely chopped,2 Onions - finely chopped,1 Pandan leaf,500 grams Chicken - with bones,1-1/2 inch Ginger - finely chopped,Sunflower Oil - as required"
Peanut Butter Chicken Recipe,"2 tablespoon Sunflower Oil,1 Tomato,300 grams Chicken breasts - boneless,1/2 teaspoon Black pepper powder,3/4 cup Chicken stock,1 tablespoon Chilli oil - (can be substituted with 1/8 teaspoon smoked paprika),1/2 teaspoon Salt,1 Onion,3/4 cup Peanut Butter - smooth"
Naga Style Chicken With Bamboo Shoot Recipe,"2 Tomatoes - crushed in pestle & mortar,Spring Onion (Bulb & Greens) - few,Salt - to taste,1 kg Chicken,2 inch Ginger - grated,5 cloves Garlic - crushed,7/8 Green Chillies - crushed,1/2 cup Bamboo shoots - sliced,1/2 cup Cabbage (Patta Gobi/ Muttaikose) - sliced"
Murgh Masala Recipe - Chicken Tangdi Masala,"1 teaspoon Kashmiri Red Chilli Powder,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Ginger Garlic Paste,400 grams Chicken legs,1 inch Cinnamon Stick (Dalchini),1 tablespoon Lemon juice - to tenderize the chicken,1 teaspoon Salt - to tenderize the chicken,1 inch Ginger - finely chopped,1 Cardamom (Elaichi) Pods/Seeds,1/4 teaspoon Garam masala powder,3 tablespoons Homemade tomato puree,2 Onions - finely chopped,1/4 teaspoon Cumin powder (Jeera),1/2 tablespoon Honey,2 teaspoons Mustard oil,Salt - as per taste,1 Bay leaf (tej patta),2 tablespoons Curd (Dahi / Yogurt) - beaten,Coriander (Dhania) Leaves - finely chopped for garnish,1/2 teaspoon Red Chilli powder"
Chicken Barbecue Pizza Recipe,"1 teaspoon Sugar,1 tablespoons Extra Virgin Olive Oil - and extra as needed,1 teaspoon Dried Thyme Leaves,Salt - to taste,1 tablespoon Tabasco Original - Hot Sauce,1 Onion - chopped,1 teaspoon Red Chilli flakes,Lukewarm Water - as required,2 teaspoons Active dry yeast,2 tablespoons Barbeque sauce,4 cloves Garlic - chopped,3 cups Whole Wheat Flour - and some extra flour for dusting,100 grams Chicken breasts - cut into small pieces,2 cups Homemade tomato puree,1 teaspoon Salt"
Chettinad Dry Pepper Chicken Recipe," 2-1 / 2 tbsp. Black pepper powder, 1 onion, 1 tomato, oil - as per use, 1 tbsp coriander powder, 2 sprig curry leaves, 1 tbsp ginger garlic paste, 1 tsp cumin powder - compress, 1/2 tsp turmeric powder, coriander - for garnish, salt - as per taste, 1 tsp fennel Powder - roast,500 grams of chicken, water - as per use"
Methi Murgh Recipe - Chicken with Fenugreek Leaves,"200 grams Chicken - with bones,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Cumin powder (Jeera),1 inch Ginger - chopped,1 inch Cinnamon Stick (Dalchini),2 teaspoon Garam masala powder,Salt - to taste,2 Onions - sliced,1 teaspoon Fennel seeds (Saunf),2 cloves Garlic - crushed,2 Tomatoes - chopped,1 cup Methi Leaves (Fenugreek Leaves) - washed,2 teaspoon Red Chilli powder,Sunflower Oil - as required,1 teaspoon Whole Black Peppercorns"
Mexican Chicken Soup Recipe,"1 tablespoon Sweet corn,1/2 teaspoon Cumin powder (Jeera),1 tablespoons Lemon juice,Salt - to taste,2 tablespoons Canola Oil,1 Carrot (Gajjar) - chopped,1 Onion - chopped,2 tablespoons Coriander (Dhania) Leaves - chopped,1 Celery - chopped,4 cups Chicken stock,2 Tomatoes - chopped,2 Green Chilli - chopped,4 cloves Garlic - chopped,1/2 teaspoon Red Chilli powder,1/2 cup Chicken breasts - shredded ,1 teaspoon Dried oregano"
Milagai Bajji Stuffed with Masala Chicken Recipe,"4 Dry Red Chillies,3 tablespoon Fresh coconut,1/2 teaspoon Whole Black Peppercorns,1 inch Ginger - chopped,Salt - to taste,1 teaspoon Cumin seeds (Jeera),6 Badi hari mirch (Large Green Chilli),1 Onion - chopped,1 teaspoon Ajwain (Carom seeds),1 teaspoon Fennel seeds (Saunf),1 teaspoon Coriander (Dhania) Seeds,300 grams Chicken breasts - minced,1/2 cup Homemade tomato puree,4 cloves Garlic - chopped,Sunflower Oil"
Chicken Sandwich With Sweet Corn Recipe,"2 Iceberg lettuce - as needed,Whole Black Peppercorns - freshly ground to taste,Salt - to taste,3 tablespoon Sweet corn - boiled till tender,1 Onion - sliced to rings (about 5 slices),1 Tomato - sliced (4-5 slices),4 tablespoon Classic Mayonnaise (With Egg) - (garlic flavour tastes best),2 Hot Dog Bread,3 tablespoon Tomato Ketchup,1 Chicken breasts - pressure cooked till tender (3 whistles)"
Chicken Parmigiana Recipe,"1 teaspoon Sugar,Salt - to taste,1 teaspoon Red Chilli powder,1/2 cup Whole Wheat Bread crumbs,1 Whole Egg,1 Onion - chopped,1 teaspoon Red Chilli flakes,1 teaspoon Rosemary,1 teaspoon Salt and Pepper,4 tablespoon All Purpose Flour (Maida),1/8 cup Parmesan cheese - grated,4 cloves Garlic - chopped,Sunflower Oil,1 teaspoon Tabasco Original - Hot Sauce,2 cups Homemade tomato puree,1 Chicken breasts - cut diagonally thin,1/3 cup Mozzarella cheese - grated"
Chicken Manchurian Recipe,"1 tablespoon Soy sauce,3 tablespoons Red Chilli sauce,1 Whole Egg,1 teaspoon Soy sauce,1 teaspoon Chilli vinegar,2 inch Ginger - finely grated,300 grams Chicken - chopped to bite size pieces,1 cup Water,1 Green Bell Pepper (Capsicum) - thinly sliced,2 Green Chillies - finely chopped,2 tablespoons Corn flour,1 tablespoon Corn flour,1 pinch Salt,1/2 cup Spring Onion Greens - chopped,2 tablespoons Sunflower Oil,8 cloves Garlic - finely chopped,1 Onion - thinly sliced,1/4 cup Homemade tomato puree"
Mexican Chicken Meatball Chilli Stew Recipe,"1 tablespoon Paprika powder,1 inch Ginger - chopped,Salt - to taste,1 Onion - chopped,2 Onions - chopped,1 cup Rajma (Large Kidney Beans) - soaked overnight and cooked,200 grams Chicken - minced,2 Chipotle Chillies / Peppers - or dried red chilli will do,2 Tomatoes - chopped,1 tablespoon Cumin powder (Jeera),4 cloves Garlic - chopped,Sunflower Oil,1 Green zucchini - chopped,1 teaspoon Black pepper powder"
Arabian Chicken Mandi Recipe -Yemeni Style Rice & Chicken,"1 teaspoon Ghee,1 Onion - finely chopped,2 tablespoons Extra Virgin Olive Oil,1 tablespoon Ginger Garlic Paste,1 teaspoon Whole Black Peppercorns,3 Green Chillies,2 cups Basmati rice,Salt - to taste,2 Cardamom (Elaichi) Pods/Seeds,1 tablespoon Cloves (Laung),2 Bay leaves (tej patta),1/2 tablespoon Whole Black Peppercorns,1 tablespoon Cardamom (Elaichi) Pods/Seeds,3 Bay leaves (tej patta),2 tablespoons Butter - softened,2 inch Cinnamon Stick (Dalchini),2 Cloves (Laung),1/2 tablespoon Dry ginger powder,1/2 teaspoon Nutmeg powder,1 Tomato,4 cups Water,500 grams Chicken - with bones"
Shredded Chicken Tostadas Recipe,"Sunflower Oil - for deep frying,1 tablespoon Extra Virgin Olive Oil,1 cup Refried beans,Salt - to taste,1/2 cup Guacamole,5-6 Red Radish - sliced,1/2 cup Iceberg lettuce - packed,1/4 cup Tomato Salsa,1 Lemon juice,250 grams Boneless chicken,1 Onion - thin slices,1/4 cup Sour cream,1-1/2 teaspoon Black pepper powder,5 Tortillas"
Kakka Orotti Recipe - Steamed Mini Rice Balls in Chicken Gravy,"3 tablespoons Rice flour - adjustable,8 Curry leaves,1-1/2 cup Basmati rice - (or any long grain should work),1 Onion - finely chopped,1 tablespoon Ginger Garlic Paste,1/4 teaspoon Turmeric powder (Haldi),500 grams Chicken breasts - cut into cubes,2 cups Water,2 tablespoons Sunflower Oil,1 Tomato - chopped,Salt - to taste,1-1/4 teaspoon Fennel seeds (Saunf),3 Cardamom (Elaichi) Pods/Seeds,1/2 inch Cinnamon Stick (Dalchini),3/4 cup Fresh coconut - grated,2 teaspoons Kashmiri Red Chilli Powder,3 Cloves (Laung),1/4 cup Water - adjustable,1 cup Fresh coconut - grated,2 tablespoons Sunflower Oil - or coconut oil,1 tablespoon Coriander Powder (Dhania),Fresh coconut - paste (as required),1 teaspoon Rice - (same as you used for the dough),1/2 teaspoon Garam masala powder,1 Onion - diced roughly,1 teaspoon Fennel seeds (Saunf),1 cup Water"
Dum Murgh Aatishi Recipe - Spicy Smoked Chicken Recipe,"1 teaspoon Cumin powder (Jeera),1 teaspoon Red Chilli powder,1/2 teaspoon Poppy seeds,1/2 teaspoon Fennel seeds (Saunf),1/2 teaspoon Anardana Powder (Pomegranate Seed Powder),Salt - to taste,1/2 tablespoon Ginger Garlic Paste,4 Onions - chopped,1/2 cup Fresh cream,4 cloves Garlic - chopped,2 teaspoons Red Chilli powder,1 tablespoon Lemon juice,1 inch Ginger - chopped,1 cup Homemade tomato puree,1 inch Coal - for dum,500 grams Chicken - Boneless,8 Whole cashews,1 teaspoon Char Magaz,2 Dry Red Chillies,2 tablespoons Ghee,1/2 teaspoons Garam masala powder"
Chicken Kofta Curry Recipe,"1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Garam masala powder,Salt - to taste,4 cloves Garlic - finely chopped,1 teaspoon Red Chilli powder,1 Onion - chopped,1 teaspoon Coriander Powder (Dhania),1 Onion - finely chopped,Coriander (Dhania) Leaves - small bucnh,2 inch Ginger - finely chopped,Coriander (Dhania) Leaves - small bunch,1/2 cup Fresh cream,Sunflower Oil,1 Chicken breasts - minced,1 tablespoon Honey,2 cups Homemade tomato puree"
Homemade Mole Sauce Recipe,"1 Onion - sliced,1 tablespoon Raw Peanuts (Moongphali),2 cloves Garlic,1 inch Cinnamon Stick (Dalchini),2 inch Dark chocolate,1 cup Chicken stock,Salt - to taste,1 tablespoon Butter,1 tablespoon Makki Ka Atta (Yellow Corn Meal Flour),1 tablespoon Raisins,2 Cloves (Laung),2 Tomatoes,2 Chipotle peppers,1 Star anise,1 teaspoon Black pepper powder,1 teaspoon Dried oregano"
Dragon Chicken Sizzler Recipe,"1 Onion - diced,2 Carrot (Gajjar) - diced,1 tablespoon Red Chilli flakes,1/2 cup Tomato Ketchup,6 Button mushrooms - diced,1 Whole Egg,2 Fresh Red chillies,2 tablespoons Corn flour,Ginger - peeled and minced,White pepper powder - to taste,500 grams Chicken - chicken 500 gm,1 Onion - peeled and diced,French Fries - few,Salt - to taste,Sunflower Oil - as required to fry the chicken,1 Carrot (Gajjar) - peeled and diced,1/2 teaspoon White pepper powder,4 Asparagus - diced,2 cups Fried Rice - chicken or plain,1/2 cup Schezwan sauce,1 tablespoon Sunflower Oil,1 teaspoon Sugar,1 Green Bell Pepper (Capsicum) - diced,Garlic - peeled and minced,1 cup Teriyaki Sauce,100 grams Baby corn - baby corn 100 gm"
Chicken In Curry Leaves Gravy Recipe,"White pepper powder - (optional),2 Green Chillies,300 grams Boneless chicken - chopped,3/4 cup Curry leaves,Salt - to taste,Cherry tomatoes - to garnish,1 Onion - finely chopped,1/2 cup Coriander (Dhania) Leaves,2 tablespoons Ginger Garlic Paste,Sunflower Oil - to cook,1/2 cup Mint Leaves (Pudina),1 Lemon"
Chicken Curry With Sweet Potatoes Recipe,"1 Green Chilli - finely chopped,3 Cloves (Laung),2 Byadagi Dried Chillies,3 Whole Black Peppercorns,1 inch Cinnamon Stick (Dalchini),1 teaspoon Cumin seeds (Jeera),1 teaspoon Red Chilli powder,2 inch Ginger - grated,6 cloves Garlic - finely chopped,250 grams Chicken - cut into pieces with bones,5 sprig Coriander (Dhania) Leaves - finely chopped,1/2 cup Homemade tomato puree,1/2 cup Curd (Dahi / Yogurt),1 teaspoon Coriander (Dhania) Seeds,2 Sweet Potatoes - diced,1 teaspoon Sunflower Oil,1 teaspoon Turmeric powder (Haldi),1 Onion - thinly sliced,Salt - as per required"
Haryanvi Saag Gosht Recipe,"2 Green Chillies,1/2 teaspoon Mustard seeds,1 cup Tomatoes - chopped,2 Dry Red Chilli,1 inch Ginger - minced,1-1/2 teaspoon Red Chilli powder,1 tablespoon Coriander Powder (Dhania),1 teaspoon Cumin seeds (Jeera),1 tablespoon Cumin powder (Jeera),Salt - to taste,2 teaspoon Turmeric powder (Haldi),500 grams Chicken,6 Garlic - minced,2 cups Onions - chopped,Sunflower Oil - as required,2 cups Spinach"
Dhania Murgh Makhani Recipe,"1 Onion - sliced,1 tablespoon Garam masala powder,1 cup Curd (Dahi / Yogurt),4 cloves Garlic,1 inch Ginger - chopped,Salt - to taste,1 teaspoon Cumin seeds (Jeera),1 Cardamom (Elaichi) Pods/Seeds,2 Onions - sliced,2 Potatoes (Aloo) - skin peeled and cubed,1/2 cup Coriander (Dhania) Leaves,2 inch Cinnamon Stick (Dalchini),300 grams Chicken drumstick - cut into small pieces,1 Lemon juice,2 Green Chilli - chopped,1 teaspoon Turmeric powder (Haldi),1 Tomato - chopped,1 teaspoon Amchur (Dry Mango Powder)"
Coorgi Style Chicken Curry Recipe,"1 teaspoon Red Chilli powder,1 Onion - chopped,2 tablespoon Coriander (Dhania) Seeds,Salt - to taste,5 Green Chillies,20 Curry leaves,1 teaspoon Kachampuli,1 teaspoon Methi Seeds (Fenugreek Seeds),1 teaspoon Turmeric powder (Haldi),2 tablespoon Whole Black Peppercorns,4 Dry Red Chillies,1 tablespoon Cumin seeds (Jeera),1 tablespoon Sunflower Oil,2 Tomatoes - chopped,12 cloves Garlic,1 teaspoon Sugar,1 cup Fresh coconut - grated,1 kg Chicken,1 teaspoon Mustard seeds,1 inch Ginger,1 Cinnamon Stick (Dalchini),Sunflower Oil"
Butter Chicken With Tandoori Mayo Recipe,"1 Green Chilli - finely chopped,3/4 tablespoon Ginger - grated,1 teaspoon Red Chilli powder,1 teaspoon Coriander Powder (Dhania),4 tablespoon Fresh cream,1 teaspoon Sunflower Oil,3/4 tablespoon Garlic - grated,Sunflower Oil - as required,1 tablespoon Red Chilli powder,2 tablespoon Curd (Dahi / Yogurt),1/2 teaspoon Cumin powder (Jeera),1/2 inch Ginger - peeled and finely chopped,1/2 teaspoon Sugar,1 teaspoon Turmeric powder (Haldi),1/2 tablespoon Turmeric powder (Haldi),Coriander (Dhania) Leaves,1 tablespoon Lemon juice,Butter - as required,400 grams Boneless chicken - cubed to bite size (2-inches),1 tablespoon Butter,2 tablespoon Del Monte Tandoori Mayo,1 teaspoon Fresh cream,5 Tomatoes - chopped,1 tablespoon Del Monte Tandoori Mayo,1 tablespoon Coriander Powder (Dhania),2 tablespoon Butter,1 cup Water,2 Onion - chopped,1 tablespoon Cumin powder (Jeera),1 teaspoon Salt"
Achari Chicken Tikka Wrap Recipe,"1 Onion - sliced,300 grams Boneless chicken,1 tablespoon Lemon juice,1 tablespoon Red Chilli powder,1 Tomato - pulp removed and chopped,1 teaspoon Ginger Garlic Paste,1 tablespoon Gram flour (besan),1 tablespoon Garam masala powder,4 Lettuce leaves - or spinach leaves,1 teaspoon Cumin powder (Jeera),Salt - to taste,1 teaspoon Coriander Powder (Dhania),1 teaspoon Ajwain (Carom seeds),4 tablespoons Curd (Dahi / Yogurt),4 tablespoons Achari Mayo,1 teaspoon Turmeric powder (Haldi),4 Whole Wheat Tawa Paratha"
Chicken Jalfrezi Recipe - Chicken And Bell Peppers In Tomato Gravy,"1 Onion - diced,2 Carrots (Gajjar) - diced thin,1/2 teaspoon Turmeric powder (Haldi),1 Green Bell Pepper (Capsicum) - diced,1 cup Homemade tomato puree,1 teaspoon Garam masala powder,1 inch Ginger - grated,1 teaspoon Coriander Powder (Dhania),1 tablespoon Butter - softened,2 cloves Garlic - grated,1 Tomato - diced,1 teaspoon Honey,1 Stalk Coriander (Dhania) Leaves - finely chopped,250 grams Chicken breasts - cut into small pieces,1 Red Bell pepper (Capsicum) - diced,Salt,Sunflower Oil"
Chicken Wings With Bhuna Masala Recipe,"1 tablespoon Garam masala powder,1 inch Ginger - chopped,Salt - to taste,1 teaspoon Red Chilli powder,1 Onion - chopped,8 Chicken Wings,3 cloves Garlic - chopped,1/4 teaspoon Turmeric powder (Haldi),1 tablespoon Cumin powder (Jeera),1 Tomato - chopped"
Mutton Keema Soup Recipe,"1/2 teaspoon Turmeric powder (Haldi),200 Grams Mutton - minced (keema),Salt - to taste,1 Tablespoon Sunflower Oil,1/2 teaspoon Black pepper powder,1 Onion - chopped,2 Bay leaves (tej patta),3 Green Chillies - chopped,2 Tablespoon Coriander (Dhania) Leaves - chopped,1 Sprig Fresh Thyme leaves - (Optional),2 inch Ginger - finely chopped,4 Cups Chicken stock - or vegetable stock or water,1 Tomato - chopped"
Spicy & Tangy Goan Chicken Stew Recipe With Vegetables,"2 Potato (Aloo) - peeled and diced,1 tablespoon Lemon juice,1 tablespoon Coriander Powder (Dhania),1 tablespoon Black pepper powder,Water - as required,500 grams Chicken - (preferably with bones),4 tablespoons Tamarind Paste,Salt - to taste,1 Tomato - finely chopped,4 Green Chillies - slit,1 teaspoon Red Chilli powder,2 Carrots (Gajjar) - chopped,1 Onion - finely chopped,1/3 cup Green peas (Matar),6 cloves Garlic - finely chopped,1-1/2 teaspoon Cumin powder (Jeera),1 tablespoon Gingelly oil,1 inch Ginger - finely chopped,1 teaspoon Salt"
Mughlai Style Chicken Changezi Recipe,"2 tablespoon Curd (Dahi / Yogurt),1 tablespoon Coriander Powder (Dhania),3/4 teaspoon Cumin powder (Jeera),1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Ginger Garlic Paste,1 cup Homemade tomato puree,Salt - to taste,1-1/2 teaspoon Kashmiri Red Chilli Powder,750 grams Chicken - cleaned,4 tablespoons Sunflower Oil,1 tablespoon Ginger - finely chopped,1/2 teaspoon Kasuri Methi (Dried Fenugreek Leaves),2 Onions - chopped,2 tablespoon Fresh cream,Red Chilli powder - Red chili powder to taste,2 tablespoons Sunflower Oil,1 tablespoon Garlic - finely chopped"
Ginger Garlic Chicken Recipe,"2 teaspoons Corn flour,2 tablespoons Sprig Ginger Teriyaki Sauce -,Salt - to taste,1/2 teaspoon Black pepper powder -,1 teaspoon Chilli vinegar - chilli vinegar,1 Onion - cut into cubes,1/2 teaspoon Honey,2 tablespoon Garlic - finely chopped,3 tablespoon Ginger - finely chopped,2 Green Chilli - chopped,1 tablespoon Sweet and Spicy Red Chilli Sauce (Tomato Chilli Sauce),1/4 cup Spring Onion Greens,1 teaspoon Soy sauce - soy sauce,1 tablespoon Schezwan sauce,3 Chicken breasts - cut into 1 inch cubes"
Pumpkin Curry With Chicken Recipe,"Salt - as required,Sunflower Oil,1 teaspoon Cumin powder (Jeera),1 teaspoon Garam masala powder,1 teaspoon Red Chilli powder,1 teaspoon Coriander Powder (Dhania),Coriander (Dhania) Leaves - A small bunch,3/4 teaspoon Turmeric powder (Haldi),1/2 cup Homemade tomato puree,3 cloves Garlic - chopped,1 Onion - roughly chopped,1 inch Ginger - roughly chopped,400 grams Chicken breasts - cut into small pieces,500 grams Kaddu (Parangikai/ Pumpkin),2 Green Chilli - finely chopped"
Pan Fried Chinese Chilli Chicken recipe,"3 tablespoons Extra Virgin Olive Oil,3 tablespoons Soy sauce,2 tablespoons Red Chilli sauce,2 teaspoons Tomato Ketchup,1 tablespoon Soy sauce,3 tablespoons Honey,6 Green Chillies - slit vertically,1 teaspoon Whole Black Peppercorns - coarsely pounded,1 teaspoon Red Chilli powder,1 Whole Eggs,1 Onion - cut to half and layers separated,500 grams Boneless chicken - breasts,1 Red Yellow and Green Bell Peppers (Capsicum) - cut into 1-inch squares,2 Stalks Spring Onion (Bulb & Greens) - finely chopped,6-8 cloves Garlic - minced,1 tablespoon Rice flour"
Chinese Dragon Chicken With Vegetables Recipe,"1/2 cup Tomato Ketchup,1/2 Green Bell Pepper (Capsicum) - cubed,Sunflower Oil - as required,200 gram Button mushrooms - sliced,1/2 Yellow Bell Pepper (Capsicum) - cubed,10 Cashew nuts - optional,200 gram Baby corn - cut into one-inch cubes,1/2 Red Bell pepper (Capsicum) - cubed,1 Onion - cubed,2 Carrots (Gajjar) - diced,3-4 tablespoons Red Chilli sauce,2 tablespoons Ginger Garlic Paste,2 tablespoon Corn flour,1 kg Chicken - boneless,1.5 tablespoon Red Chilli flakes,1 tablespoon Honey,2-3 Fresh Red Chilli,2 Whole Eggs - beaten"
Savoury Crepes with Za'atar Spiced Chicken Recipe,"1-1/2 cup Milk,1 Tomato - deseeded and chopped finely,250 grams Boneless chicken - diced into 1/2 inch cubes,1-1/2 cup Whole Wheat Flour,Salt - to taste,1 tablespoon All Purpose Flour (Maida),1 teaspoon Lemon juice,1-1/2 Dijon Mustard - (adjust as per preference),1 teaspoon Coriander (Dhania) Leaves - chopped,1 teaspoon Paprika powder - smoked,Black pepper powder - to taste,1/2 cup Milk,3 Whole Eggs,1 tablespoon Za'atar - (middle eastern herb),1-1/2 teaspoon Sugar,1 pinch Salt,1/2 cup Fresh cream,1/2 Red Bell pepper (Capsicum) - cut into small chunks,2 tablespoons Butter"
Grilled Basil Pesto Chicken Sub Sandwich Recipe,"1 tablespoon Extra Virgin Olive Oil,1/4 cup Parmesan cheese - grated (optional),Salt - to taste,1 teaspoon Lemon juice,2 Cheese Slices,4 cloves Garlic - finely chopped,1 Chicken breasts,2 tablespoons Walnuts - toasted,2 tablespoons Garlic Butter,1/2 tablespoon Whole Black Peppercorns - coarsely pounded,1 tablespoon Fresh cream,2 Hot Dog Bread,2 tablespoons Classic Mayonnaise (With Egg),1 Tomato - thinly sliced,125 grams Basil leaves - with stems removed,2 tablespoons Sweet and Spicy Red Chilli Sauce (Tomato Chilli Sauce)"
Thai Basil Chicken Recipe-Pad Krapow Gai,"2 1/2 tablespoons Sunflower Oil,1/4 cup Corn flour,300 grams Chicken - cut into small pieces,1 tablespoon Soy sauce,1 Green bell peppers - sliced,1 Whole Egg,Salt and Pepper - to taste,1 cup Water,1 tablespoon Corn flour,4 cloves Garlic - chopped,5 sprig Basil leaves,1 teaspoon Tomato Ketchup,2 tablespoon Red Chilli sauce,2 Fresh Red chillies - chopped"